site_name,site_abbreviation,building_name,building_abbreviation,building_number,address,floors,gross_square_feet,occupied_since,building_image_urls
Main Campus,UTM,UNIVERSITY TEACHING CENTER,UTC,0500,"105 W 21ST ST, AUSTIN, TX 78712",6,168696.0,1984,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTC/100473536_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTC/100473479_400.jpg
Main Campus,UTM,ETTER-HARBIN ALUMNI CENTER,UTX,0990,"2110 SAN JACINTO BLVD, AUSTIN, TX 78712",5,82939.0,1964,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTX/100474738_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTX/100474699_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTX/100474696_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTX/100474698_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/UTX/100474697_400.jpg
Main Campus,UTM,KVRX TRANSMITTER TWR & CNTRL BLDG,VRX,0184,"6301 HAROLD CT, AUSTIN, TX 78721",1,130.0,1994,nan
Main Campus,UTM,WAGGENER HALL,WAG,0649,"2210 SPEEDWAY, AUSTIN, TX 78712",6,57811.0,1931,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WAG/100473470_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WAG/100473547_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WAG/100473471_400.jpg
Main Campus,UTM,ARTHUR P. WATSON HOUSE,WAT,0165,"500 E 18TH ST, AUSTIN, TX 78701",2,1650.0,1993,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WAT/100541122_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WAT/100541126_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WAT/100541124_400.jpg
Main Campus,UTM,WILL C. HOGG BLDG.,WCH,0257,"120 INNER CAMPUS DR, AUSTIN, TX 78712",6,51483.0,1932,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WCH/100473523_400.jpg
Main Campus,UTM,"WILLIAM C. POWERS, JR. SAC",WCP,0278,"2201 SPEEDWAY, AUSTIN, TX 78712",7,153992.0,2010,nan
Main Campus,UTM,WALLER CREEK CONTROL STATION,WCS,0614,"2264 SAN JACINTO, AUSTIN, TX 78712",1,25.0,1980,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WCS/100474908_400.jpg
Main Campus,UTM,ROBERT A. WELCH HALL,WEL,0161,"105 E 24TH ST, AUSTIN, TX 78712",7,429830.0,1930,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WEL/100473461_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WEL/100473458_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WEL/100473460_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WEL/100473459_400.jpg; https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WEL/100473457_400.jpg
Main Campus,UTM,WHITAKER GATEWAY BUILDING,WGB,0447,"4901 GUADALUPE ST, AUSTIN, TX 78751",1,5070.0,2017,https://utdirect.utexas.edu/apps/campus/buildings/static/information/nlogon/imgs/utbuildings/main/WGB/100541702_400.jpg
